text,class
"TEL AVIV (Reuters) - U.S. Secretary of State Rex Tillerson said on Monday President Donald Trump was prepared to invest his personal efforts into Middle East peace if Israeli and Palestinian leaders were ready to be serious about engaging in the process. Tillerson, speaking to reporters on Air Force One, said a three-way meeting between U.S., Israeli and Palestinian leaders was for a “later date” rather than on this trip. ",1
"WASHINGTON (Reuters) - The U.S. Supreme Court is heading into its home stretch, with major rulings due by the end of the month on President Barack Obama’s unilateral immigration plan, racial preferences in university admissions and a restrictive Texas abortion law. Producing decisive rulings has been complicated by the fact that the court has been down one justice since conservative Antonin Scalia died in February, leaving it evenly split with four conservatives and four liberals. The justices also are set to rule on whether to overturn Republican former Virginia governor Robert McDonnell’s 2014 corruption conviction, one of the 13 cases yet to be decided. The court appeared divided along ideological lines when it heard arguments on April 18 over whether Democrat Obama exceeded his constitutional powers in bypassing the Republican-led Congress with a 2014 plan to spare millions of immigrants in the country illegally from deportation and give them work permits. Twenty-six states led by Republican-governed Texas brought the lawsuit. A 4-4 ruling, which appeared to be one possibility after the arguments, would deal Obama a huge defeat because it would affirm a lower-court ruling invalidating the plan. Split rulings do not set nationwide legal precedents, but a 4-4 decision would effectively kill Obama’s immigration plan. The court also seemed split along ideological lines during March 2 arguments in a challenge to a Texas abortion law brought by abortion providers backed by the Obama administration. A 4-4 ruling would deliver a victory to Texas because it would affirm a lower-court ruling upholding the law. Because such a ruling would set no nationwide precedent, it might not serve as a legal blueprint for other conservative, Republican-dominated states to enact similar laws. The question before the justices is whether the law, which imposes strict regulations on abortion doctors and clinic facilities, violates a woman’s constitutional right to abortion as established in the 1973 Roe v. Wade ruling. There cannot be a 4-4 ruling in a challenge by a white woman, enlisted by a conservative legal activist, to a University of Texas student admissions policy giving preferences to racial minorities in a program aimed at fostering campus racial diversity. Only seven justices heard that case. Liberal Elena Kagan, the Obama administration’s solicitor general when it supported the university in earlier litigation, recused herself. That means four conservatives and three liberals will decide the case. Conservative justices expressed reservations about the affirmative action admissions policy during Dec. 9 arguments. ",1
"White House officials are now saying Trump won t make a trip to England this summer after a hurried, secret plan to sneak the president into the country was leaked to the English press causing widespread outrage.Trump s unpopularity in the United Kingdom is legendary, and his aversion to protesters has caused him to refuse to visit the nation until they can guarantee there won t be mass protests. But his staff apparently came up with a gamble that would allow him to meet with British Prime Minister Theresa May while avoiding the backlash. Unfortunately for him, it fell through almost immediately.Trump wanted to visit his golf course in Scotland (because, of course) while he was in Europe for the G20 meeting and the plan was to have him quietly pop over to London so he could meet with May. To avoid any chance of protests, Trump s staff is said to have warned British officials that the president would only be giving 24-hour notice before dropping by. This way, they reasoned, protesters wouldn t even know he was in the country before he was leaving again.Whitehall sources confirmed the government had been warned that the president could visit Turnberry, one of his two golf resorts in Scotland, during his trip to Europe, between attending the G20 summit in Hamburg and joining celebrations for Bastille Day in France on 14 July.Trump would be expected to come to Downing Street to meet the prime minister for informal talks as part of any such visit, though final confirmation would be likely to be given with just 24 hours  notice to minimise the risk of disruption.But like everything with Trump s flailing administration, the plan leaked to the press and protesters vowed to be ready, even at short notice.So the White House is back to saying he won t be visiting our ally after all. At least not this summer.A spokeswoman for the US president said on Monday that no trip was imminent, amid mounting speculation that Trump was planning to make an unofficial visit to the UK on his way to or from the G20 summit in Hamburg this week. While we look forward to visiting the UK, it will not happen in the next two weeks,  the spokeswoman said.It s doubtful that the White House s denials are going to make any would-be protesters put their guard down. The Trump administration has such a deep reputation of lying, that a denial from them means absolutely nothing. It s likely that angry English citizens will gather at Trump s Scottish golf course while Trump is in Europe juussstttt in case. And Trump has a notoriously hard time resisting a game of golf.Meanwhile, Trump is getting ready to meet his on-again, off-again friend Vladimir Putin at the G20 summit. His advisers told CNN that the president is not planning to bring up the fact that Russia hacked the U.S. elections. Nevertheless, it will certainly be the elephant in the room.Featured image via Mark Wilson/Getty Images",0
"CNN published a hate group map and list from the Southern Poverty Law Center that targeted many Christian Organizations. The organizations are fearful for their safety after the bogus  hate map  with the headline,  Here are all the active hate groups where you live.  The Southern Poverty Law Center will have blood on their hands if they cause the injury of anyone in these Christian groups. It s bad enough that they labeled these groups as hate groups but now the people in the groups are fearful.Todd Starnes of Townhall reported:The list included among others American Family Association, Family Research Council, Alliance Defending Freedom, Liberty Counsel and Pacific Justice Institute.American Family Association blasted the CNN story calling it a  sham news article that could easily incite violence and place AFA employees and supporters in harm s way. Liberty Counsel President Mat Staver demanded an immediate retraction   calling CNN s report  false, defamatory and dangerous. Liberty Counsel is not a hate group,  he said.  The false  hate  label is very damaging to our reputation and is a safety risk to our staff. Liberty Counsel is a Christian ministry, and hates no one. Conservatives and Christians have good reason to be worried.In 2012, Floyd Lee Corkins opened fire inside Family Research Council headquarters in Washington, D.C. A security guard was shot and wounded.The domestic terrorist told police he wanted to kill as many employees as possible to intimidate opponents of same-sex marriage. Corkins brought along Chick-fil-A sandwiches, which he intended to smear on the faces of dead staffers.Corkins told authorities that he picked his target using the Southern Poverty Law Center s so-called  hate map. Family Research Council President Tony Perkins appeared on my nationally syndicated radio show Thursday to condemn CNN for using material from an organization that is  an attack dog of the Left. They are not a neutral arbiter that is calling balls and strikes. They are on the field   playing. They are pushing an agenda and anyone who opposes them   they slap a label on them,  Perkins told me. They are inciting violence and it needs to stop,  he added.READ MORE: TOWNHALL",0
"MOSCOW (Reuters) - Russian Foreign Minister Sergei Lavrov and his Iranian counterpart Mohammad Javad Zarif discussed the Middle East and Iran s nuclear deal in a phone conversation, Russian foreign ministry said on Monday. ",1
"Donald Trump has one hell of a week. Starting off with his abysmal performance in last Monday s debate and ending with Saturday s New York Times  1995 tax bombshell. Trump is currently being lambasted for his manipulation of the tax system and his refusal to release his tax returns.Harry Reid has joined in with rest of the left and has arguably released the most scathing indictment of Trump on the matter of his taxes so far. Trump is a billion-dollar loser who won t release his taxes because they ll expose him as a spoiled, rich brat who lost the millions he inherited from his father, Reid writes in a press release. Despite losing a billion dollars, Trump wants to reward himself with more tax breaks on inherited wealth while stiffing middle-class families who earn their paychecks with hard work. Damn, that s brutal. The U.S. Democratic Senate leader did not stop there. Reid continues, demanding that Trump release his tax returns and spells out very clearly what it means if the Republican presidential nominee continues to refuse to do so. Trump is over-leveraged and deeply indebted to someone, but until he releases his taxes we won t know who. The implications for America s security are severe. The American people deserve to know who has leverage over this man who wants to be president. In the name of the public interest, the Senate should immediately pass the Presidential Tax Transparency Act, which would force all presidential candidates to release their tax returns. If all senators agreed to pass this act for the good of the country, we could pass it in a matter of minutes. If the Presidential Tax Transparency Act were passed, Trump would be forced to release his tax returns. Let s step back and take stock: Senate Republicans have put party so far ahead of country, they ve endorsed a racist, incompetent failure who managed to lose a billion dollars in a boom year,  Reid writes.  Now they are helping Trump hide his tax returns and preventing the American people from knowing what individuals, businesses or foreign interests could have leverage over Trump. It s time we rip open Trump s closet and let the world see the financial skeletons he is hiding. The American people have trusted their officials to release their tax returns voluntarily. Trump is the first person in decades not to release his returns. He has proven that he cannot be trusted. Trump and all other future candidates  tax returns releases should be mandatory. Not only will it will be a small step forward towards a brighter more transparent democracy, it ll also make the financially corrupt think twice before running for office.Featured Image from Chip Somodevilla/Getty Images",0
"WASHINGTON (Reuters) - Republican presidential candidate Donald Trump said on Monday that House of Representatives’ Speaker Paul Ryan, the party’s top elected official, should “not waste his time” opposing the party’s nominee. “Paul Ryan should spend more time on balancing the budget, jobs and illegal immigration and not waste his time on fighting Republican nominee,” Trump said in a post on Twitter. ",1
"Tune in to the Alternate Current Radio Network (ACR) for another LIVE broadcast of  The Boiler Room  starting at 6:00 PM PST | 8:00 PM CST | 9:00 PM EST for this special broadcast. Join us for uncensored, uninterruptible talk radio, custom-made for barfly philosophers, misguided moralists, masochists, street corner evangelists, media-maniacs, savants, political animals and otherwise lovable rascals.Join ACR hosts Hesher and Spore along with Andy Nowicki host of The Nameless Podcast and Stewart Howe for the 92nd episode of BOILER ROOM. Water the plants, put the kids to bed and get your favorite snuggy out so you can drop deep into the Boiler Room with the ACR brain-trust.Please like and share the program and visit our donate page to get involved!Listen to  Boiler Room   EP #92   The (Hollywood) Hills Have Eyes  on Spreaker.Reference Links:",0
"WASHINGTON (Reuters) - One of the top officials at the U.S. Justice Department said Sunday that the agency’s heightened focus on policing leaks of classified information is not intended to put journalists in legal jeopardy. Deputy Attorney General Rod Rosenstein emphasized that the department’s renewed effort to prosecute leaks of classified information is not aimed at the news media. “We’re after the leakers, not the journalists,” he said on “Fox News Sunday.” “We don’t prosecute journalists for doing their jobs.” But Rosenstein would not rule out potentially charging journalists in the future altogether, saying reporters could face charges if they deliberately violated the law. “Generally speaking, reporters who publish information are not committing a crime, but there might be a circumstance in which they do,” he said. “I wouldn’t rule it out if there were a case where the reporter was purposefully violating the law.” On Friday, Attorney General Jeff Sessions announced that his department was tripling the number of investigations into leaks of classified information. President Donald Trump has been fiercely critical of the high number of leaks coming from the federal government since he took office. Rosenstein said the Justice Department has experienced a “surge” of referrals pertaining to leaks of government information. He also said that the department would pursue charges against “anybody who breaks the law” leaking information, including members of Congress and top White House officials. ",1
"If you ve ever watched the Hunger Games movies you know that Effie Trinket is a psychotic woman who looks at murder as a game. She plays along with the Hunger Games and expects everyone else to just ignore the horror going on around them. She sends the young tributes out to play the game knowing all but one will be murdered.Hillary Clinton is our very own Effie Trinket playing along in a very sick game of politics and murder. Wonder if she s even thinking about the families of the murdered American heroes.Hillary Laughs at GOPer s Benghazi Question, Immediately Scolded:  It s Not Funny ",0
